,State,District,Year,Quartar,Trans_Count,Amount
167,Andhra Pradesh,Visakhapatnam,2019,4,23594874,39133296330.044624
168,Andhra Pradesh,Prakasam,2019,4,4865473,10604077824.801035
169,Andhra Pradesh,Anantapur,2019,4,6764112,13887248889.064066
170,Andhra Pradesh,Ysr,2019,4,4793157,10865073855.730783
171,Andhra Pradesh,West Godavari,2019,4,4596479,9710614747.20177
172,Andhra Pradesh,Kurnool,2019,4,7001958,13233105728.54823
173,Andhra Pradesh,Chittoor,2019,4,11246986,19298476027.875484
174,Andhra Pradesh,Guntur,2019,4,9761330,18565626418.035915
175,Andhra Pradesh,Krishna,2019,4,11719402,23039786404.04664
176,Andhra Pradesh,East Godavari,2020,1,11346242,21854701379.428688
177,Andhra Pradesh,Srikakulam,2020,1,4835092,9777575594.177538
178,Andhra Pradesh,Spsr Nellore,2020,1,7430247,15387829694.446861
179,Andhra Pradesh,Vizianagaram,2020,1,5042066,9879174240.920494
180,Andhra Pradesh,Visakhapatnam,2020,1,27115031,48809747614.678894
181,Andhra Pradesh,Prakasam,2020,1,6318396,14169104764.526735
182,Andhra Pradesh,Anantapur,2020,1,8466129,17864325752.82528
183,Andhra Pradesh,Ysr,2020,1,6031255,14059924636.819912
184,Andhra Pradesh,West Godavari,2020,1,5919670,12995834340.716236
185,Andhra Pradesh,Kurnool,2020,1,8246869,17022710311.813046
186,Andhra Pradesh,Chittoor,2020,1,13257740,23441848567.344193
187,Andhra Pradesh,Guntur,2020,1,11493331,22992734620.64621
188,Andhra Pradesh,Krishna,2020,1,12175289,24481702770.71471
189,Andhra Pradesh,East Godavari,2020,2,13130334,26319906327.32029
190,Andhra Pradesh,Srikakulam,2020,2,6425515,12153650076.875832
191,Andhra Pradesh,Spsr Nellore,2020,2,9454274,20665376460.772232
192,Andhra Pradesh,Vizianagaram,2020,2,6690313,12819344389.545382
193,Andhra Pradesh,Visakhapatnam,2020,2,25300401,48293889917.41437
194,Andhra Pradesh,Prakasam,2020,2,8844580,19846026726.904335
195,Andhra Pradesh,Anantapur,2020,2,10473739,22094006659.412506
196,Andhra Pradesh,Ysr,2020,2,8033609,19597207268.132023
197,Andhra Pradesh,West Godavari,2020,2,7273096,16585866855.159784
198,Andhra Pradesh,Kurnool,2020,2,9821381,22419372061.805172
199,Andhra Pradesh,Chittoor,2020,2,14848197,27361300300.01902
200,Andhra Pradesh,Guntur,2020,2,12308707,27463593607.839108
201,Andhra Pradesh,Krishna,2020,2,12313709,26964149095.366295
202,Andhra Pradesh,East Godavari,2020,3,17972431,39300043804.75851
203,Andhra Pradesh,Srikakulam,2020,3,8286289,18029574581.337425
204,Andhra Pradesh,Spsr Nellore,2020,3,16468209,39128324534.03022
205,Andhra Pradesh,Vizianagaram,2020,3,8236703,17567816576.501263
206,Andhra Pradesh,Visakhapatnam,2020,3,34421299,67628440368.111465
207,Andhra Pradesh,Prakasam,2020,3,12266310,31221704852.44969
208,Andhra Pradesh,Anantapur,2020,3,14447683,34102037972.65785
209,Andhra Pradesh,Ysr,2020,3,11934653,32037007334.12973
210,Andhra Pradesh,West Godavari,2020,3,10412351,25408608725.754295
211,Andhra Pradesh,Kurnool,2020,3,13243292,32529351107.17173
212,Andhra Pradesh,Chittoor,2020,3,20501863,42811566246.16463
