,State,Year,Quartar,Amount,Insurance_count
171,Haryana,2021,4,25885838.0,19489
172,Haryana,2022,1,32526943.0,22783
173,Haryana,2022,2,33759068.0,25352
174,Haryana,2022,3,45402800.0,35346
175,Haryana,2022,4,56627115.0,37971
176,Haryana,2023,1,61127194.0,37287
177,Haryana,2023,2,62186066.0,40710
178,Haryana,2023,3,61782311.0,42815
179,Haryana,2023,4,80747159.0,47506
180,Himachal Pradesh,2020,2,77936.0,392
181,Himachal Pradesh,2020,3,165559.0,531
182,Himachal Pradesh,2020,4,630966.0,710
183,Himachal Pradesh,2021,1,906492.0,1064
184,Himachal Pradesh,2021,2,1402338.0,1210
185,Himachal Pradesh,2021,3,2444545.0,1759
186,Himachal Pradesh,2021,4,4667661.0,2474
187,Himachal Pradesh,2022,1,5234739.0,2768
188,Himachal Pradesh,2022,2,5371078.0,2831
189,Himachal Pradesh,2022,3,6161692.0,3641
190,Himachal Pradesh,2022,4,9060436.0,4565
191,Himachal Pradesh,2023,1,7826133.0,3909
192,Himachal Pradesh,2023,2,8499425.0,4197
193,Himachal Pradesh,2023,3,7869767.0,3935
194,Himachal Pradesh,2023,4,11898824.0,5211
195,Jammu & Kashmir,2020,2,48484.0,206
196,Jammu & Kashmir,2020,3,133339.0,441
197,Jammu & Kashmir,2020,4,734861.0,647
198,Jammu & Kashmir,2021,1,1546288.0,1105
199,Jammu & Kashmir,2021,2,1832089.0,1197
200,Jammu & Kashmir,2021,3,2139133.0,1452
201,Jammu & Kashmir,2021,4,5223317.0,3113
202,Jammu & Kashmir,2022,1,7244267.0,3584
203,Jammu & Kashmir,2022,2,7729792.0,4071
204,Jammu & Kashmir,2022,3,8281826.0,4794
205,Jammu & Kashmir,2022,4,10111183.0,5031
206,Jammu & Kashmir,2023,1,10275877.0,4555
207,Jammu & Kashmir,2023,2,10974839.0,5262
208,Jammu & Kashmir,2023,3,10975874.0,5453
209,Jammu & Kashmir,2023,4,13932309.0,6264
210,Jharkhand,2020,2,405031.0,2063
211,Jharkhand,2020,3,1349934.0,5368
212,Jharkhand,2020,4,2857024.0,3659
213,Jharkhand,2021,1,3274851.0,4879
214,Jharkhand,2021,2,5084230.0,5180
215,Jharkhand,2021,3,7046048.0,6794
216,Jharkhand,2021,4,11190423.0,8465
217,Jharkhand,2022,1,13819466.0,9373
218,Jharkhand,2022,2,13464840.0,9477
219,Jharkhand,2022,3,18156857.0,14388
220,Jharkhand,2022,4,23147805.0,16779
221,Jharkhand,2023,1,23823406.0,16108
222,Jharkhand,2023,2,23216215.0,16662
223,Jharkhand,2023,3,25165702.0,19478
224,Jharkhand,2023,4,33484644.0,22398
225,Karnataka,2020,2,4794150.0,27358
226,Karnataka,2020,3,12407394.0,53701
227,Karnataka,2020,4,26814968.0,31747
228,Karnataka,2021,1,30183325.0,37595
229,Karnataka,2021,2,39501006.0,40969
230,Karnataka,2021,3,48078366.0,47468
231,Karnataka,2021,4,90723288.0,74436
232,Karnataka,2022,1,130733580.0,95640
233,Karnataka,2022,2,123228632.0,93385
234,Karnataka,2022,3,144605784.0,110273
235,Karnataka,2022,4,185063287.0,133971
236,Karnataka,2023,1,186543426.0,127376
237,Karnataka,2023,2,175704013.0,117232
238,Karnataka,2023,3,199448538.0,139699
239,Karnataka,2023,4,248056311.0,156076
240,Kerala,2020,2,360216.0,1588
241,Kerala,2020,3,2830361.0,8811
242,Kerala,2020,4,4445525.0,5479
243,Kerala,2021,1,5040506.0,5731
244,Kerala,2021,2,9676588.0,9530
245,Kerala,2021,3,13255646.0,10926
246,Kerala,2021,4,31260319.0,19199
247,Kerala,2022,1,64172190.0,37110
248,Kerala,2022,2,59920203.0,35667
249,Kerala,2022,3,85390924.0,54587
250,Kerala,2022,4,103982997.0,65563
251,Kerala,2023,1,101786828.0,62377
252,Kerala,2023,2,100620604.0,61032
253,Kerala,2023,3,110021582.0,66059
254,Kerala,2023,4,121905046.0,73543
255,Ladakh,2020,2,2538.0,14
256,Ladakh,2020,3,10260.0,33
257,Ladakh,2020,4,34206.0,27
258,Ladakh,2021,1,34530.0,32
259,Ladakh,2021,2,86251.0,46
260,Ladakh,2021,3,174052.0,192
261,Ladakh,2021,4,195966.0,76
262,Ladakh,2022,1,193935.0,75
263,Ladakh,2022,2,269446.0,113
264,Ladakh,2022,3,369742.0,137
265,Ladakh,2022,4,410091.0,162
266,Ladakh,2023,1,495736.0,161
267,Ladakh,2023,2,635831.0,215
268,Ladakh,2023,3,649027.0,232
269,Ladakh,2023,4,718967.0,242
270,Lakshadweep,2020,3,1199.0,4
271,Lakshadweep,2021,1,5225.0,4
272,Lakshadweep,2021,2,6962.0,5
273,Lakshadweep,2021,3,16034.0,19
274,Lakshadweep,2021,4,17096.0,11
275,Lakshadweep,2022,1,34664.0,27
276,Lakshadweep,2022,2,27463.0,18
277,Lakshadweep,2022,3,41504.0,38
278,Lakshadweep,2022,4,27135.0,15
279,Lakshadweep,2023,1,30199.0,26
280,Lakshadweep,2023,2,38384.0,15
281,Lakshadweep,2023,3,12407.0,12
282,Lakshadweep,2023,4,78346.0,53
283,Madhya Pradesh,2020,2,1198701.0,6283
284,Madhya Pradesh,2020,3,3496126.0,14476
285,Madhya Pradesh,2020,4,4897124.0,10653
286,Madhya Pradesh,2021,1,5567927.0,14427
287,Madhya Pradesh,2021,2,9787391.0,14803
288,Madhya Pradesh,2021,3,7806258.0,11990
289,Madhya Pradesh,2021,4,17524432.0,15069
290,Madhya Pradesh,2022,1,19901462.0,13791
291,Madhya Pradesh,2022,2,20159098.0,14629
292,Madhya Pradesh,2022,3,29185118.0,22733
293,Madhya Pradesh,2022,4,42712883.0,29234
294,Madhya Pradesh,2023,1,45135679.0,26393
295,Madhya Pradesh,2023,2,44871764.0,27027
296,Madhya Pradesh,2023,3,46963348.0,29300
297,Madhya Pradesh,2023,4,73801070.0,40784
298,Maharashtra,2020,2,6879717.0,39836
299,Maharashtra,2020,3,19230156.0,71662
300,Maharashtra,2020,4,27113814.0,44798
301,Maharashtra,2021,1,33137753.0,55792
302,Maharashtra,2021,2,46763103.0,70381
303,Maharashtra,2021,3,41313307.0,52268
304,Maharashtra,2021,4,93262227.0,82423
305,Maharashtra,2022,1,117411928.0,88015
306,Maharashtra,2022,2,104603934.0,80935
307,Maharashtra,2022,3,113835208.0,90958
