,State,District,Year,Quartar,Registered_Users,App_Open_Count
9826,Manipur,Imphal East,2020,1,36105,420094
9827,Manipur,Thoubal,2020,1,16244,175401
9828,Manipur,Kakching,2020,1,7075,74982
9829,Manipur,Jiribam,2020,1,3051,37923
9830,Manipur,Ukhrul,2020,1,4892,59944
9831,Manipur,Tamenglong,2020,1,4169,67905
9832,Manipur,Kamjong,2020,1,755,13665
9833,Manipur,Chandel,2020,1,3471,62247
9834,Manipur,Bishnupur,2020,1,15333,173021
9835,Manipur,Senapati,2020,1,922,47684
9836,Manipur,Pherzawl,2020,1,245,5039
9837,Manipur,Churachandpur,2020,1,12420,166120
9838,Manipur,Tengnoupal,2020,1,3179,53112
9839,Manipur,Imphal West,2020,1,57485,629446
9840,Manipur,Kangpokpi,2020,2,12965,203507
9841,Manipur,Noney,2020,2,2236,63200
9842,Manipur,Imphal East,2020,2,43144,517800
9843,Manipur,Thoubal,2020,2,20186,290602
9844,Manipur,Kakching,2020,2,9028,128015
9845,Manipur,Jiribam,2020,2,3660,53042
9846,Manipur,Ukhrul,2020,2,6223,94483
9847,Manipur,Tamenglong,2020,2,5158,95973
9848,Manipur,Kamjong,2020,2,888,21980
9849,Manipur,Chandel,2020,2,4278,86628
9850,Manipur,Bishnupur,2020,2,19027,275023
9851,Manipur,Senapati,2020,2,1095,76298
9852,Manipur,Pherzawl,2020,2,316,6845
9853,Manipur,Churachandpur,2020,2,15469,230835
9854,Manipur,Tengnoupal,2020,2,3926,75600
9855,Manipur,Imphal West,2020,2,67897,791660
9856,Manipur,Kangpokpi,2020,3,15966,253384
9857,Manipur,Noney,2020,3,2736,55385
9858,Manipur,Imphal East,2020,3,51383,609321
9859,Manipur,Thoubal,2020,3,24183,317792
9860,Manipur,Kakching,2020,3,10752,134942
9861,Manipur,Jiribam,2020,3,4238,66168
9862,Manipur,Ukhrul,2020,3,7657,112269
9863,Manipur,Tamenglong,2020,3,6475,109931
9864,Manipur,Kamjong,2020,3,1124,23423
9865,Manipur,Chandel,2020,3,5252,109957
9866,Manipur,Bishnupur,2020,3,22965,325558
9867,Manipur,Senapati,2020,3,1317,103022
9868,Manipur,Pherzawl,2020,3,438,8873
9869,Manipur,Churachandpur,2020,3,19501,298971
9870,Manipur,Tengnoupal,2020,3,4853,82000
9871,Manipur,Imphal West,2020,3,79723,941379
9872,Manipur,Kangpokpi,2020,4,17814,268836
9873,Manipur,Noney,2020,4,3042,54913
9874,Manipur,Imphal East,2020,4,57282,660654
9875,Manipur,Thoubal,2020,4,26858,319570
9876,Manipur,Kakching,2020,4,11913,132864
9877,Manipur,Jiribam,2020,4,4621,65672
9878,Manipur,Ukhrul,2020,4,8651,120435
9879,Manipur,Tamenglong,2020,4,7322,110430
9880,Manipur,Kamjong,2020,4,1333,27975
9881,Manipur,Chandel,2020,4,5987,120650
9882,Manipur,Bishnupur,2020,4,25629,335291
9883,Manipur,Senapati,2020,4,1513,113530
9884,Manipur,Pherzawl,2020,4,533,9387
9885,Manipur,Churachandpur,2020,4,21960,300081
9886,Manipur,Tengnoupal,2020,4,5537,88105
9887,Manipur,Imphal West,2020,4,88777,1055039
9888,Manipur,Kangpokpi,2021,1,19239,252420
9889,Manipur,Noney,2021,1,3286,55982
9890,Manipur,Imphal East,2021,1,62004,693766
9891,Manipur,Thoubal,2021,1,29072,314602
9892,Manipur,Kakching,2021,1,12888,123152
9893,Manipur,Jiribam,2021,1,5045,68826
9894,Manipur,Ukhrul,2021,1,9372,97569
9895,Manipur,Tamenglong,2021,1,7960,102778
9896,Manipur,Kamjong,2021,1,1481,28955
9897,Manipur,Chandel,2021,1,6467,107475
9898,Manipur,Bishnupur,2021,1,27615,304856
9899,Manipur,Senapati,2021,1,1655,102591
9900,Manipur,Pherzawl,2021,1,607,9375
9901,Manipur,Churachandpur,2021,1,23827,278146
9902,Manipur,Tengnoupal,2021,1,6049,83331
9903,Manipur,Imphal West,2021,1,96101,1085403
9904,Manipur,Kangpokpi,2021,2,20703,699332
9905,Manipur,Noney,2021,2,3566,233348
9906,Manipur,Imphal East,2021,2,66388,698750
9907,Manipur,Thoubal,2021,2,31139,379556
9908,Manipur,Kakching,2021,2,13816,179017
9909,Manipur,Jiribam,2021,2,5468,145822
9910,Manipur,Ukhrul,2021,2,10142,369390
9911,Manipur,Tamenglong,2021,2,8580,377885
9912,Manipur,Kamjong,2021,2,1619,186560
9913,Manipur,Chandel,2021,2,6980,399269
9914,Manipur,Bishnupur,2021,2,29671,486636
9915,Manipur,Senapati,2021,2,1769,1295855
9916,Manipur,Pherzawl,2021,2,663,77344
9917,Manipur,Churachandpur,2021,2,25573,552013
9918,Manipur,Tengnoupal,2021,2,6499,242939
9919,Manipur,Imphal West,2021,2,102833,945286
9920,Manipur,Kangpokpi,2021,3,22416,874800
9921,Manipur,Noney,2021,3,3902,300472
9922,Manipur,Imphal East,2021,3,71436,954175
9923,Manipur,Thoubal,2021,3,33478,486022
9924,Manipur,Kakching,2021,3,14924,239828
9925,Manipur,Jiribam,2021,3,5941,184052
9926,Manipur,Ukhrul,2021,3,11045,513136
9927,Manipur,Tamenglong,2021,3,9326,574128
9928,Manipur,Kamjong,2021,3,1791,242167
9929,Manipur,Chandel,2021,3,7597,522067
9930,Manipur,Bishnupur,2021,3,31996,674139
9931,Manipur,Senapati,2021,3,1958,1711032
9932,Manipur,Pherzawl,2021,3,778,100880
9933,Manipur,Churachandpur,2021,3,27600,839576
9934,Manipur,Tengnoupal,2021,3,7055,355522
9935,Manipur,Imphal West,2021,3,110506,1171776
9936,Manipur,Kangpokpi,2021,4,24082,578502
9937,Manipur,Noney,2021,4,4235,106691
9938,Manipur,Imphal East,2021,4,76421,1343041
9939,Manipur,Thoubal,2021,4,35832,671715
9940,Manipur,Kakching,2021,4,15985,254045
9941,Manipur,Jiribam,2021,4,6397,142268
9942,Manipur,Ukhrul,2021,4,11949,228837
9943,Manipur,Tamenglong,2021,4,10063,231717
9944,Manipur,Kamjong,2021,4,1996,47690
9945,Manipur,Chandel,2021,4,8184,224700
9946,Manipur,Bishnupur,2021,4,34316,600342
9947,Manipur,Senapati,2021,4,2157,232274
9948,Manipur,Pherzawl,2021,4,865,17410
9949,Manipur,Churachandpur,2021,4,29651,620822
9950,Manipur,Tengnoupal,2021,4,7557,215328
9951,Manipur,Imphal West,2021,4,118056,2087912
9952,Manipur,Kangpokpi,2022,1,25589,1969108
9953,Manipur,Noney,2022,1,4525,821300
9954,Manipur,Imphal East,2022,1,81134,1040166
9955,Manipur,Thoubal,2022,1,38088,521538
9956,Manipur,Kakching,2022,1,17014,331592
9957,Manipur,Jiribam,2022,1,6842,373094
9958,Manipur,Ukhrul,2022,1,12728,1325142
9959,Manipur,Tamenglong,2022,1,10719,2895585
9960,Manipur,Kamjong,2022,1,2128,830279
9961,Manipur,Chandel,2022,1,8724,1216929
9962,Manipur,Bishnupur,2022,1,36514,1296613
9963,Manipur,Senapati,2022,1,2286,5363948
9964,Manipur,Pherzawl,2022,1,918,309373
9965,Manipur,Churachandpur,2022,1,31533,2171488
9966,Manipur,Tengnoupal,2022,1,8027,930673
9967,Manipur,Imphal West,2022,1,125131,1240919
9968,Manipur,Kangpokpi,2022,2,27002,2652308
9969,Manipur,Noney,2022,2,4807,782172
9970,Manipur,Imphal East,2022,2,85559,1009956
9971,Manipur,Thoubal,2022,2,40196,729093
9972,Manipur,Kakching,2022,2,18011,298365
9973,Manipur,Jiribam,2022,2,7232,574516
9974,Manipur,Ukhrul,2022,2,13435,1538651
9975,Manipur,Tamenglong,2022,2,11310,2791772
9976,Manipur,Kamjong,2022,2,2243,651682
9977,Manipur,Chandel,2022,2,9201,1642357
9978,Manipur,Bishnupur,2022,2,38512,1216775
9979,Manipur,Senapati,2022,2,2402,7596610
9980,Manipur,Pherzawl,2022,2,964,283123
9981,Manipur,Churachandpur,2022,2,33293,1675207
9982,Manipur,Tengnoupal,2022,2,8495,1241856
9983,Manipur,Imphal West,2022,2,131901,1552457
9984,Manipur,Kangpokpi,2022,3,28377,2498405
9985,Manipur,Noney,2022,3,4992,776128
9986,Manipur,Imphal East,2022,3,90100,1520203
9987,Manipur,Thoubal,2022,3,42321,605201
9988,Manipur,Kakching,2022,3,18979,463388
9989,Manipur,Jiribam,2022,3,7633,390013
9990,Manipur,Ukhrul,2022,3,14002,1741319
9991,Manipur,Tamenglong,2022,3,11830,1854644
9992,Manipur,Kamjong,2022,3,2326,588199
9993,Manipur,Chandel,2022,3,9647,1296492
9994,Manipur,Bishnupur,2022,3,40486,1279672
9995,Manipur,Senapati,2022,3,2492,8069839
9996,Manipur,Pherzawl,2022,3,992,549638
9997,Manipur,Churachandpur,2022,3,35081,1521481
9998,Manipur,Tengnoupal,2022,3,8913,1270292
9999,Manipur,Imphal West,2022,3,138892,1586429
10000,Manipur,Kangpokpi,2022,4,29563,997497
10001,Manipur,Noney,2022,4,5121,153249
10002,Manipur,Imphal East,2022,4,94344,2264733
10003,Manipur,Thoubal,2022,4,44264,1137408
10004,Manipur,Kakching,2022,4,19797,442534
10005,Manipur,Jiribam,2022,4,8001,231713
10006,Manipur,Ukhrul,2022,4,14415,369769
10007,Manipur,Tamenglong,2022,4,12297,355040
10008,Manipur,Kamjong,2022,4,2341,96400
10009,Manipur,Chandel,2022,4,9973,371016
10010,Manipur,Bishnupur,2022,4,42189,976227
10011,Manipur,Senapati,2022,4,2553,489136
10012,Manipur,Pherzawl,2022,4,995,27901
10013,Manipur,Churachandpur,2022,4,36722,715234
10014,Manipur,Tengnoupal,2022,4,9295,356200
10015,Manipur,Imphal West,2022,4,145422,3478675
10016,Manipur,Kangpokpi,2023,1,30917,3790975
10017,Manipur,Noney,2023,1,5349,1387390
10018,Manipur,Imphal East,2023,1,98499,1036986
10019,Manipur,Thoubal,2023,1,46248,522679
10020,Manipur,Kakching,2023,1,20700,193416
10021,Manipur,Jiribam,2023,1,8381,1001353
10022,Manipur,Ukhrul,2023,1,15024,1662739
10023,Manipur,Tamenglong,2023,1,12843,2800286
10024,Manipur,Kamjong,2023,1,2411,903645
10025,Manipur,Chandel,2023,1,10406,1538087
10026,Manipur,Bishnupur,2023,1,44031,1311460
10027,Manipur,Senapati,2023,1,2658,8444325
10028,Manipur,Pherzawl,2023,1,1020,401858
10029,Manipur,Churachandpur,2023,1,38361,1887069
10030,Manipur,Tengnoupal,2023,1,9712,1181144
10031,Manipur,Imphal West,2023,1,151777,1355662
10032,Manipur,Kangpokpi,2023,2,32306,1285640
10033,Manipur,Noney,2023,2,5653,441243
10034,Manipur,Imphal East,2023,2,102530,491362
10035,Manipur,Thoubal,2023,2,48169,296300
10036,Manipur,Kakching,2023,2,21613,71039
10037,Manipur,Jiribam,2023,2,8764,382675
10038,Manipur,Ukhrul,2023,2,15758,1072575
10039,Manipur,Tamenglong,2023,2,13463,1365881
10040,Manipur,Kamjong,2023,2,2579,244539
10041,Manipur,Chandel,2023,2,10941,450475
10042,Manipur,Bishnupur,2023,2,46010,653220
10043,Manipur,Senapati,2023,2,2804,5262391
10044,Manipur,Pherzawl,2023,2,1095,344045
10045,Manipur,Churachandpur,2023,2,40043,864723
10046,Manipur,Tengnoupal,2023,2,10160,283610
10047,Manipur,Imphal West,2023,2,157911,566319
10048,Manipur,Kangpokpi,2023,3,33690,2191474
10049,Manipur,Noney,2023,3,5895,363301
10050,Manipur,Imphal East,2023,3,106699,944295
10051,Manipur,Thoubal,2023,3,50179,493710
10052,Manipur,Kakching,2023,3,22516,261506
10053,Manipur,Jiribam,2023,3,9171,357376
10054,Manipur,Ukhrul,2023,3,16460,711315
10055,Manipur,Tamenglong,2023,3,14077,1573118
10056,Manipur,Kamjong,2023,3,2698,281983
10057,Manipur,Chandel,2023,3,11414,1374766
10058,Manipur,Bishnupur,2023,3,47895,827371
10059,Manipur,Senapati,2023,3,2937,6491936
10060,Manipur,Pherzawl,2023,3,1163,556141
10061,Manipur,Churachandpur,2023,3,41799,1311115
10062,Manipur,Tengnoupal,2023,3,10629,312756
10063,Manipur,Imphal West,2023,3,164350,2642132
10064,Manipur,Kangpokpi,2023,4,35090,1362219
10065,Manipur,Noney,2023,4,6176,242644
10066,Manipur,Imphal East,2023,4,111164,4974080
10067,Manipur,Thoubal,2023,4,52303,2600896
10068,Manipur,Kakching,2023,4,23493,936346
10069,Manipur,Jiribam,2023,4,9525,372203
10070,Manipur,Ukhrul,2023,4,17147,1307670
10071,Manipur,Tamenglong,2023,4,14662,620563
10072,Manipur,Kamjong,2023,4,2814,59860
10073,Manipur,Chandel,2023,4,11910,429736
10074,Manipur,Bishnupur,2023,4,49929,2066812
10075,Manipur,Senapati,2023,4,3070,1178965
10076,Manipur,Pherzawl,2023,4,1232,51083
10077,Manipur,Churachandpur,2023,4,43539,1262277
10078,Manipur,Tengnoupal,2023,4,11055,457005
10079,Manipur,Imphal West,2023,4,171021,7629186
10080,Meghalaya,North Garo Hills,2018,1,254,0
10081,Meghalaya,South West Khasi Hills,2018,1,55,0
10082,Meghalaya,West Garo Hills,2018,1,3671,0
10083,Meghalaya,South Garo Hills,2018,1,343,0
10084,Meghalaya,East Jaintia Hills,2018,1,1419,0
10085,Meghalaya,South West Garo Hills,2018,1,299,0
10086,Meghalaya,East Khasi Hills,2018,1,9310,0
10087,Meghalaya,East Garo Hills,2018,1,236,0
10088,Meghalaya,Ribhoi,2018,1,1891,0
10089,Meghalaya,West Jaintia Hills,2018,1,736,0
10090,Meghalaya,West Khasi Hills,2018,1,299,0
10091,Meghalaya,North Garo Hills,2018,2,445,0
10092,Meghalaya,South West Khasi Hills,2018,2,110,0
10093,Meghalaya,West Garo Hills,2018,2,5289,0
10094,Meghalaya,South Garo Hills,2018,2,530,0
10095,Meghalaya,East Jaintia Hills,2018,2,2051,0
10096,Meghalaya,South West Garo Hills,2018,2,485,0
10097,Meghalaya,East Khasi Hills,2018,2,12907,0
10098,Meghalaya,East Garo Hills,2018,2,437,0
10099,Meghalaya,Ribhoi,2018,2,2869,0
10100,Meghalaya,West Jaintia Hills,2018,2,1023,0
10101,Meghalaya,West Khasi Hills,2018,2,472,0
10102,Meghalaya,North Garo Hills,2018,3,737,0
10103,Meghalaya,South West Khasi Hills,2018,3,177,0
10104,Meghalaya,West Garo Hills,2018,3,7529,0
10105,Meghalaya,South Garo Hills,2018,3,821,0
10106,Meghalaya,East Jaintia Hills,2018,3,2886,0
10107,Meghalaya,South West Garo Hills,2018,3,810,0
10108,Meghalaya,East Khasi Hills,2018,3,17543,0
10109,Meghalaya,East Garo Hills,2018,3,694,0
10110,Meghalaya,Ribhoi,2018,3,3889,0
10111,Meghalaya,West Jaintia Hills,2018,3,1465,0
10112,Meghalaya,West Khasi Hills,2018,3,730,0
10113,Meghalaya,North Garo Hills,2018,4,1092,0
10114,Meghalaya,South West Khasi Hills,2018,4,253,0
10115,Meghalaya,West Garo Hills,2018,4,10445,0
10116,Meghalaya,South Garo Hills,2018,4,1057,0
10117,Meghalaya,East Jaintia Hills,2018,4,3735,0
10118,Meghalaya,South West Garo Hills,2018,4,1115,0
10119,Meghalaya,East Khasi Hills,2018,4,22845,0
10120,Meghalaya,East Garo Hills,2018,4,1067,0
10121,Meghalaya,Ribhoi,2018,4,5207,0
10122,Meghalaya,West Jaintia Hills,2018,4,1861,0
10123,Meghalaya,West Khasi Hills,2018,4,957,0
10124,Meghalaya,North Garo Hills,2019,1,1482,0
10125,Meghalaya,South West Khasi Hills,2019,1,329,0
10126,Meghalaya,West Garo Hills,2019,1,12932,0
10127,Meghalaya,South Garo Hills,2019,1,1296,0
10128,Meghalaya,East Jaintia Hills,2019,1,4643,0
10129,Meghalaya,South West Garo Hills,2019,1,1434,0
10130,Meghalaya,East Khasi Hills,2019,1,27937,0
10131,Meghalaya,East Garo Hills,2019,1,1424,0
10132,Meghalaya,Ribhoi,2019,1,6543,0
10133,Meghalaya,West Jaintia Hills,2019,1,2276,0
10134,Meghalaya,West Khasi Hills,2019,1,1191,0
10135,Meghalaya,North Garo Hills,2019,2,1965,8905
10136,Meghalaya,South West Khasi Hills,2019,2,448,2506
10137,Meghalaya,West Garo Hills,2019,2,15673,72876
10138,Meghalaya,South Garo Hills,2019,2,1640,7558
10139,Meghalaya,East Jaintia Hills,2019,2,5580,38147
10140,Meghalaya,South West Garo Hills,2019,2,1902,9442
10141,Meghalaya,East Khasi Hills,2019,2,33377,175058
10142,Meghalaya,East Garo Hills,2019,2,1855,9573
10143,Meghalaya,Ribhoi,2019,2,7894,51958
10144,Meghalaya,West Jaintia Hills,2019,2,2846,11316
10145,Meghalaya,West Khasi Hills,2019,2,1566,8425
10146,Meghalaya,North Garo Hills,2019,3,2403,32901
10147,Meghalaya,South West Khasi Hills,2019,3,521,10278
10148,Meghalaya,West Garo Hills,2019,3,18509,258510
10149,Meghalaya,South Garo Hills,2019,3,2020,27451
10150,Meghalaya,East Jaintia Hills,2019,3,6371,131205
10151,Meghalaya,South West Garo Hills,2019,3,2306,36115
10152,Meghalaya,East Khasi Hills,2019,3,38761,608108
10153,Meghalaya,East Garo Hills,2019,3,2313,32036
10154,Meghalaya,Ribhoi,2019,3,9007,185794
10155,Meghalaya,West Jaintia Hills,2019,3,3346,38914
10156,Meghalaya,West Khasi Hills,2019,3,1838,26502
10157,Meghalaya,North Garo Hills,2019,4,2871,39381
10158,Meghalaya,South West Khasi Hills,2019,4,619,12271
10159,Meghalaya,West Garo Hills,2019,4,21300,279541
10160,Meghalaya,South Garo Hills,2019,4,2434,30886
10161,Meghalaya,East Jaintia Hills,2019,4,7343,145362
10162,Meghalaya,South West Garo Hills,2019,4,2757,41158
10163,Meghalaya,East Khasi Hills,2019,4,43484,626975
10164,Meghalaya,East Garo Hills,2019,4,2788,37883
10165,Meghalaya,Ribhoi,2019,4,10308,204050
10166,Meghalaya,West Jaintia Hills,2019,4,3946,47102
10167,Meghalaya,West Khasi Hills,2019,4,2180,25933
10168,Meghalaya,North Garo Hills,2020,1,3311,45211
10169,Meghalaya,South West Khasi Hills,2020,1,724,14636
10170,Meghalaya,West Garo Hills,2020,1,24124,338577
10171,Meghalaya,South Garo Hills,2020,1,2810,43923
10172,Meghalaya,East Jaintia Hills,2020,1,8368,174603
10173,Meghalaya,South West Garo Hills,2020,1,3234,50775
10174,Meghalaya,East Khasi Hills,2020,1,49251,671640
10175,Meghalaya,East Garo Hills,2020,1,3251,47574
10176,Meghalaya,Ribhoi,2020,1,11689,234367
10177,Meghalaya,West Jaintia Hills,2020,1,4530,59509
10178,Meghalaya,West Khasi Hills,2020,1,2522,35396
10179,Meghalaya,North Garo Hills,2020,2,4318,75310
10180,Meghalaya,South West Khasi Hills,2020,2,934,21859
10181,Meghalaya,West Garo Hills,2020,2,29492,479767
10182,Meghalaya,South Garo Hills,2020,2,3590,61880
10183,Meghalaya,East Jaintia Hills,2020,2,9695,208825
10184,Meghalaya,South West Garo Hills,2020,2,4266,89389
10185,Meghalaya,East Khasi Hills,2020,2,57322,821770
10186,Meghalaya,East Garo Hills,2020,2,4132,73258
10187,Meghalaya,Ribhoi,2020,2,13550,231180
10188,Meghalaya,West Jaintia Hills,2020,2,5717,87706
10189,Meghalaya,West Khasi Hills,2020,2,3195,54309
10190,Meghalaya,North Garo Hills,2020,3,5242,81708
10191,Meghalaya,South West Khasi Hills,2020,3,1169,22236
10192,Meghalaya,West Garo Hills,2020,3,34201,541797
10193,Meghalaya,South Garo Hills,2020,3,4370,72019
10194,Meghalaya,East Jaintia Hills,2020,3,11084,213957
10195,Meghalaya,South West Garo Hills,2020,3,5082,86439
10196,Meghalaya,East Khasi Hills,2020,3,65268,878005
10197,Meghalaya,East Garo Hills,2020,3,5002,81354
10198,Meghalaya,Ribhoi,2020,3,15427,256534
10199,Meghalaya,West Jaintia Hills,2020,3,6997,95731
10200,Meghalaya,West Khasi Hills,2020,3,3899,54754
10201,Meghalaya,North Garo Hills,2020,4,5914,92098
10202,Meghalaya,South West Khasi Hills,2020,4,1364,26083
10203,Meghalaya,West Garo Hills,2020,4,37988,606770
10204,Meghalaya,South Garo Hills,2020,4,5006,78371
10205,Meghalaya,East Jaintia Hills,2020,4,12337,244254
10206,Meghalaya,South West Garo Hills,2020,4,5772,90481
10207,Meghalaya,East Khasi Hills,2020,4,72639,1022983
10208,Meghalaya,East Garo Hills,2020,4,5777,92633
10209,Meghalaya,Ribhoi,2020,4,17198,324447
10210,Meghalaya,West Jaintia Hills,2020,4,7968,105256
10211,Meghalaya,West Khasi Hills,2020,4,4484,62541
10212,Meghalaya,North Garo Hills,2021,1,6392,87414
10213,Meghalaya,South West Khasi Hills,2021,1,1479,25803
10214,Meghalaya,West Garo Hills,2021,1,40993,624759
10215,Meghalaya,South Garo Hills,2021,1,5439,81330
10216,Meghalaya,East Jaintia Hills,2021,1,13460,304466
10217,Meghalaya,South West Garo Hills,2021,1,6276,81312
10218,Meghalaya,East Khasi Hills,2021,1,78429,1079909
10219,Meghalaya,East Garo Hills,2021,1,6237,84371
10220,Meghalaya,Ribhoi,2021,1,18641,402509
10221,Meghalaya,West Jaintia Hills,2021,1,8665,98578
10222,Meghalaya,West Khasi Hills,2021,1,4858,68575
10223,Meghalaya,North Garo Hills,2021,2,6951,373360
10224,Meghalaya,South West Khasi Hills,2021,2,1616,186895
10225,Meghalaya,West Garo Hills,2021,2,44151,1729335
10226,Meghalaya,South Garo Hills,2021,2,5922,423241
10227,Meghalaya,East Jaintia Hills,2021,2,14530,750075
10228,Meghalaya,South West Garo Hills,2021,2,6835,368339
10229,Meghalaya,East Khasi Hills,2021,2,84124,1511469
10230,Meghalaya,East Garo Hills,2021,2,6754,388838
10231,Meghalaya,Ribhoi,2021,2,20098,773596
10232,Meghalaya,West Jaintia Hills,2021,2,9409,426978
10233,Meghalaya,West Khasi Hills,2021,2,5296,358678
10234,Meghalaya,North Garo Hills,2021,3,7584,514829
10235,Meghalaya,South West Khasi Hills,2021,3,1802,266385
10236,Meghalaya,West Garo Hills,2021,3,47869,2349399
10237,Meghalaya,South Garo Hills,2021,3,6442,552240
10238,Meghalaya,East Jaintia Hills,2021,3,15847,986899
10239,Meghalaya,South West Garo Hills,2021,3,7531,527856
10240,Meghalaya,East Khasi Hills,2021,3,90505,2044296
10241,Meghalaya,East Garo Hills,2021,3,7389,652951
10242,Meghalaya,Ribhoi,2021,3,21875,973925
10243,Meghalaya,West Jaintia Hills,2021,3,10337,591674
10244,Meghalaya,West Khasi Hills,2021,3,5884,492502
10245,Meghalaya,North Garo Hills,2021,4,8212,217752
10246,Meghalaya,South West Khasi Hills,2021,4,1986,47102
10247,Meghalaya,West Garo Hills,2021,4,51617,1414661
10248,Meghalaya,South Garo Hills,2021,4,7005,153237
10249,Meghalaya,East Jaintia Hills,2021,4,17115,672885
10250,Meghalaya,South West Garo Hills,2021,4,8197,209067
10251,Meghalaya,East Khasi Hills,2021,4,96942,1850500
10252,Meghalaya,East Garo Hills,2021,4,8015,210176
10253,Meghalaya,Ribhoi,2021,4,23562,898927
10254,Meghalaya,West Jaintia Hills,2021,4,11189,221642
10255,Meghalaya,West Khasi Hills,2021,4,6428,152645
10256,Meghalaya,North Garo Hills,2022,1,8795,1305426
10257,Meghalaya,South West Khasi Hills,2022,1,2130,919454
10258,Meghalaya,West Garo Hills,2022,1,55028,5145619
10259,Meghalaya,South Garo Hills,2022,1,7508,1362153
10260,Meghalaya,East Jaintia Hills,2022,1,18301,2282567
10261,Meghalaya,South West Garo Hills,2022,1,8758,1573185
10262,Meghalaya,East Khasi Hills,2022,1,102838,3580903
10263,Meghalaya,East Garo Hills,2022,1,8578,1693715
10264,Meghalaya,Ribhoi,2022,1,25112,2465091
10265,Meghalaya,West Jaintia Hills,2022,1,11952,1483829
10266,Meghalaya,West Khasi Hills,2022,1,6839,1822164
10267,Meghalaya,North Garo Hills,2022,2,9312,1591079
10268,Meghalaya,South West Khasi Hills,2022,2,2239,967828
10269,Meghalaya,West Garo Hills,2022,2,58178,5515309
10270,Meghalaya,South Garo Hills,2022,2,7922,1552068
10271,Meghalaya,East Jaintia Hills,2022,2,19314,2579775
10272,Meghalaya,South West Garo Hills,2022,2,9266,2085169
10273,Meghalaya,East Khasi Hills,2022,2,108330,4295381
10274,Meghalaya,East Garo Hills,2022,2,9052,1824456
10275,Meghalaya,Ribhoi,2022,2,26541,3111276
10276,Meghalaya,West Jaintia Hills,2022,2,12593,1661994
10277,Meghalaya,West Khasi Hills,2022,2,7196,2274657
10278,Meghalaya,North Garo Hills,2022,3,9773,1455727
10279,Meghalaya,South West Khasi Hills,2022,3,2308,1476090
10280,Meghalaya,West Garo Hills,2022,3,61273,6088916
10281,Meghalaya,South Garo Hills,2022,3,8265,1884547
10282,Meghalaya,East Jaintia Hills,2022,3,20320,2781426
10283,Meghalaya,South West Garo Hills,2022,3,9735,1989507
10284,Meghalaya,East Khasi Hills,2022,3,113816,5964535
10285,Meghalaya,East Garo Hills,2022,3,9484,2483744
10286,Meghalaya,Ribhoi,2022,3,27844,4219195
10287,Meghalaya,West Jaintia Hills,2022,3,13176,1931694
10288,Meghalaya,West Khasi Hills,2022,3,7493,2320754
10289,Meghalaya,North Garo Hills,2022,4,10145,337500
10290,Meghalaya,South West Khasi Hills,2022,4,2366,71535
10291,Meghalaya,West Garo Hills,2022,4,63792,2577134
10292,Meghalaya,South Garo Hills,2022,4,8553,345912
10293,Meghalaya,East Jaintia Hills,2022,4,21201,1128114
10294,Meghalaya,South West Garo Hills,2022,4,10062,354549
10295,Meghalaya,East Khasi Hills,2022,4,118978,2783731
10296,Meghalaya,East Garo Hills,2022,4,9846,353379
10297,Meghalaya,Ribhoi,2022,4,29041,1539014
10298,Meghalaya,West Jaintia Hills,2022,4,13633,372211
10299,Meghalaya,West Khasi Hills,2022,4,7705,242845
10300,Meghalaya,North Garo Hills,2023,1,10580,1741732
10301,Meghalaya,South West Khasi Hills,2023,1,2429,1569432
10302,Meghalaya,West Garo Hills,2023,1,66808,8814912
10303,Meghalaya,South Garo Hills,2023,1,8897,3233097
10304,Meghalaya,East Jaintia Hills,2023,1,22122,4590552
10305,Meghalaya,South West Garo Hills,2023,1,10504,2096173
10306,Meghalaya,East Khasi Hills,2023,1,124181,6379175
10307,Meghalaya,East Garo Hills,2023,1,10235,4334534
10308,Meghalaya,Ribhoi,2023,1,30369,6094267
10309,Meghalaya,West Jaintia Hills,2023,1,14218,2830443
10310,Meghalaya,West Khasi Hills,2023,1,7981,3002602
10311,Meghalaya,North Garo Hills,2023,2,11135,2256400
10312,Meghalaya,South West Khasi Hills,2023,2,2566,889458
10313,Meghalaya,West Garo Hills,2023,2,69925,11973323
10314,Meghalaya,South Garo Hills,2023,2,9386,2429485
10315,Meghalaya,East Jaintia Hills,2023,2,23231,5209244
10316,Meghalaya,South West Garo Hills,2023,2,11073,2321365
10317,Meghalaya,East Khasi Hills,2023,2,129260,6393250
10318,Meghalaya,East Garo Hills,2023,2,10727,4155166
10319,Meghalaya,Ribhoi,2023,2,31744,6500712
10320,Meghalaya,West Jaintia Hills,2023,2,14912,2861681
10321,Meghalaya,West Khasi Hills,2023,2,8423,2347150
10322,Meghalaya,North Garo Hills,2023,3,11624,3631495
10323,Meghalaya,South West Khasi Hills,2023,3,2709,3612805
10324,Meghalaya,West Garo Hills,2023,3,73025,14240950
10325,Meghalaya,South Garo Hills,2023,3,9809,4984886
10326,Meghalaya,East Jaintia Hills,2023,3,24260,4928725
10327,Meghalaya,South West Garo Hills,2023,3,11626,4845999
10328,Meghalaya,East Khasi Hills,2023,3,134378,15120022
10329,Meghalaya,East Garo Hills,2023,3,11212,6810705
10330,Meghalaya,Ribhoi,2023,3,33175,8327821
10331,Meghalaya,West Jaintia Hills,2023,3,15633,3522212
