,State,District,Year,Quartar,Registered_Users,App_Open_Count
150,Andhra Pradesh,East Godavari,2019,3,1057167,28275322
151,Andhra Pradesh,Srikakulam,2019,3,437939,11813195
152,Andhra Pradesh,Visakhapatnam,2019,3,1460464,54836001
153,Andhra Pradesh,Prakasam,2019,3,598568,16267041
154,Andhra Pradesh,Anantapur,2019,3,773656,22845084
155,Andhra Pradesh,Kurnool,2019,3,755024,22827473
156,Andhra Pradesh,Guntur,2019,3,1026418,28477132
157,Andhra Pradesh,Krishna,2019,3,1066546,30077671
158,Andhra Pradesh,Spsr Nellore,2019,3,619592,17768733
159,Andhra Pradesh,Vizianagaram,2019,3,394375,13065845
160,Andhra Pradesh,Ysr,2019,3,574109,15833900
161,Andhra Pradesh,West Godavari,2019,3,662102,14227407
162,Andhra Pradesh,Chittoor,2019,3,1032733,34638738
163,Andhra Pradesh,East Godavari,2019,4,1195228,38299189
164,Andhra Pradesh,Srikakulam,2019,4,496266,16353822
165,Andhra Pradesh,Visakhapatnam,2019,4,1620235,70749983
166,Andhra Pradesh,Prakasam,2019,4,673522,21639748
167,Andhra Pradesh,Anantapur,2019,4,873033,30278539
168,Andhra Pradesh,Kurnool,2019,4,846885,29676997
169,Andhra Pradesh,Guntur,2019,4,1158708,37846179
170,Andhra Pradesh,Krishna,2019,4,1199971,39407473
171,Andhra Pradesh,Spsr Nellore,2019,4,697154,23608360
172,Andhra Pradesh,Vizianagaram,2019,4,443810,17515311
173,Andhra Pradesh,Ysr,2019,4,646642,21543798
174,Andhra Pradesh,West Godavari,2019,4,750078,19393528
175,Andhra Pradesh,Chittoor,2019,4,1156351,44888591
176,Andhra Pradesh,East Godavari,2020,1,1329664,46142746
177,Andhra Pradesh,Srikakulam,2020,1,552007,20975989
178,Andhra Pradesh,Visakhapatnam,2020,1,1763581,77558624
179,Andhra Pradesh,Prakasam,2020,1,748655,26870693
180,Andhra Pradesh,Anantapur,2020,1,971850,36900103
181,Andhra Pradesh,Kurnool,2020,1,936293,34198350
